Target;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19
1;B;56;A;310;B;8;1;0;3;C;60000;203;568;71000;1677;57137;0.3389;34.071;0.8451
1;B;52;A;171;A;12;1;3;4;C;40000;178;413;44000;1657;54463;0.2492;32.8684;0.9091
1;B;54;B;12;B;11;1;3;4;C;60000;120;748;75000;1655;57927;0.4522;35.0012;0.8
1;B;37;A;84;B;9;1;1;4;C;20000;160;211;22000;1645;19535;0.1285;11.8754;0.9091
1;B;41;A;84;A;12;1;3;4;C;60000;178;541;69000;1631;40216;0.3315;24.6573;0.8696
1;B;45;B;47;B;1;1;3;3;C;40000;124;504;47000;1627;43306;0.3097;26.6171;0.8511
1;B;49;C;171;A;11;1;4;4;C;52000;187;495;64000;1626;67409;0.3042;41.4569;0.8125
1;B;45;A;64;B;5;1;2;3;C;60000;195;574;72000;1610;40360;0.3563;25.0683;0.8333
1;B;33;B;117;B;5;2;1;3;C;50000;180;513;56000;1610;26394;0.3185;16.3938;0.8929
1;B;31;B;77;A;1;1;1;3;C;60000;152;665;64000;1607;75550;0.414;47.0131;0.9375
1;B;35;B;82;B;5;2;2;3;C;50000;169;529;59000;1565;21332;0.3381;13.6307;0.8475
1;B;44;A;84;B;1;1;3;3;C;48000;168;480;56000;1513;65947;0.3174;43.5869;0.8571
1;B;27;B;25;A;12;1;0;4;A;50000;160;492;61000;1508;32961;0.3264;21.8574;0.8197
1;B;31;A;104;A;11;1;0;4;A;56000;142;584;61000;1486;64017;0.3932;43.0801;0.918
1;B;33;A;72;A;6;1;2;3;C;40000;141;456;45000;1478;16902;0.3086;11.4357;0.8889
1;B;45;A;68;A;6;1;3;3;C;60000;137;707;74000;1450;55702;0.4876;38.4152;0.8108
1;B;36;A;122;A;2;1;2;3;C;60000;153;565;66000;1441;24756;0.3918;17.1797;0.9091
1;B;54;B;100;B;3;1;3;3;C;60000;192;519;70000;1436;28961;0.3614;20.1678;0.8571
1;B;58;A;317;A;12;1;2;4;C;66000;192;651;67000;1434;43907;0.454;30.6185;0.9851
1;B;41;A;221;B;1;1;3;3;C;50000;130;582;58000;1411;58200;0.4126;41.2473;0.8621
1;B;52;B;122;B;9;1;2;3;C;60000;186;552;63000;1410;69199;0.3918;49.0773;0.9524
1;A;30;A;73;A;12;1;0;3;A;60000;226;489;67000;1392;72816;0.3509;52.3103;0.8955
1;B;55;A;99;B;5;2;4;3;C;40000;147;444;48000;1389;48208;0.3198;34.707;0.8333
1;B;46;A;197;A;12;1;2;4;C;60000;221;566;74000;1370;53704;0.413;39.2;0.8108
1;B;41;A;33;A;11;1;2;4;C;40000;121;497;49000;1365;19293;0.3639;14.1341;0.8163
1;B;31;B;66;B;5;1;2;3;C;50000;187;489;60000;1360;45750;0.3593;33.6397;0.8333
1;B;49;A;119;B;9;2;2;3;C;60000;164;583;70000;1358;65304;0.4292;48.0884;0.8571
1;B;47;C;114;A;11;2;4;3;C;50000;211;428;55000;1351;41605;0.3165;30.7957;0.9091
1;A;49;A;74;B;3;;0;;A;60000;215;547;67000;1346;60952;0.4063;45.2838;0.8955
1;B;41;A;121;B;1;2;2;3;C;30000;186;247;33000;1318;24262;0.1876;18.4082;0.9091
1;B;55;A;61;A;11;2;2;3;C;40000;147;401;46000;1317;37954;0.3042;28.8185;0.8696
1;A;36;C;110;A;7;1;3;3;C;60000;198;561;67000;1291;75565;0.4345;58.5321;0.8955
1;B;51;B;15;A;2;1;2;3;C;40000;131;448;50000;1252;30892;0.3581;24.6741;0.8
1;B;33;B;82;B;5;1;0;3;A;40000;214;299;43000;1241;21927;0.2413;17.6688;0.9302
1;B;52;C;23;B;5;1;3;3;B;20000;189;174;24000;1211;26763;0.144;22.0999;0.8333
1;B;33;B;87;B;1;1;0;3;A;50000;194;464;62000;1199;48758;0.3872;40.6656;0.8065
1;B;35;B;120;B;4;2;2;3;C;40000;154;372;43000;1180;55246;0.3149;46.8186;0.9302
1;B;35;A;11;A;11;;0;;A;30000;158;320;35000;1172;23590;0.2727;20.128;0.8571
1;A;30;A;73;A;12;1;0;3;A;40000;133;417;43000;1167;45237;0.3575;38.7635;0.9302
1;A;35;A;59;B;5;2;2;1;C;54000;217;437;60000;1163;37616;0.3762;32.3439;0.9
1;B;36;C;138;A;11;1;0;4;C;40000;216;363;50000;1158;41234;0.3132;35.6079;0.8
1;B;46;B;240;B;1;2;3;3;C;48000;135;487;51000;1146;27732;0.4246;24.199;0.9412
1;B;40;C;79;B;5;1;3;3;C;30000;199;283;31000;1139;40054;0.2487;35.1659;0.9677
1;B;43;A;;B;1;1;3;3;C;30000;202;293;32000;1129;27845;0.2593;24.6634;0.9375
1;A;47;A;137;A;12;1;1;4;C;48000;211;441;52000;1103;34132;0.3996;30.9447;0.9231
1;B;50;A;180;A;12;2;3;1;C;30000;124;373;32000;1098;38424;0.3395;34.9945;0.9375
1;B;50;B;55;A;11;1;2;4;C;36000;200;343;37000;1089;33193;0.3146;30.4803;0.973
1;B;46;A;231;A;12;1;1;4;C;30000;240;256;36000;1079;24998;0.2374;23.1677;0.8333
1;B;42;B;171;B;9;1;2;3;C;60000;230;451;73000;1074;66584;0.4199;61.9963;0.8219
1;B;32;B;50;B;5;1;0;3;A;30000;148;337;32000;1063;39673;0.3167;37.3217;0.9375
1;B;43;B;65;B;3;2;2;3;C;40000;162;361;43000;1055;45508;0.342;43.1355;0.9302
1;B;34;A;72;B;1;2;2;3;C;30000;190;297;33000;1054;28573;0.2817;27.1091;0.9091
1;B;52;A;93;A;6;1;1;3;C;40000;134;483;46000;1050;49122;0.4597;46.7829;0.8696
1;B;35;B;178;B;1;2;0;3;A;40000;226;360;42000;1025;19762;0.3516;19.28;0.9524
1;B;40;B;158;B;1;1;3;3;C;40000;137;459;41000;1022;24825;0.4493;24.2906;0.9756
1;B;45;A;132;B;1;2;3;3;C;37000;229;342;43000;1021;41985;0.3352;41.1214;0.8605
1;B;50;A;6;A;11;;0;;A;28000;211;238;34000;1009;19285;0.236;19.113;0.8235
1;B;42;B;69;A;12;2;3;3;C;40000;215;382;40000;983;49489;0.3889;50.3449;1
1;A;36;C;90;A;11;2;0;3;A;40000;218;332;48000;962;16545;0.3446;17.1985;0.8333
1;B;48;A;112;A;12;1;3;4;C;26000;190;233;28000;935;27057;0.2492;28.938;0.9286
1;A;35;A;81;A;12;1;2;4;C;30000;161;320;32000;899;15437;0.3556;17.1713;0.9375
1;B;52;A;128;B;5;1;3;3;C;40000;225;321;44000;863;32337;0.3721;37.4705;0.9091
1;B;42;A;126;A;11;2;4;3;C;30000;186;292;37000;833;17837;0.3507;21.413;0.8108
1;B;42;A;219;A;12;1;2;4;C;40000;221;307;47000;812;25817;0.3775;31.7943;0.8511
1;A;33;C;98;A;11;;0;;A;40000;210;384;44000;804;35349;0.4771;43.9664;0.9091
1;B;64;A;10;A;10;1;2;3;C;48000;212;361;54000;780;55422;0.4632;71.0538;0.8889
1;B;45;A;78;A;12;1;0;4;B;20000;132;205;24000;885;18930;0.2312;21.3898;0.8333
1;B;44;A;91;B;8;1;0;4;C;20000;239;178;21000;864;24486;0.2065;28.3403;0.9524
1;B;36;B;132;B;5;1;2;3;C;20000;155;220;21000;815;15337;0.2703;18.8184;0.9524
1;B;40;A;117;A;11;1;0;4;A;40000;231;288;49000;701;31254;0.4112;44.5849;0.8163
1;B;52;A;69;B;8;1;2;3;C;30000;140;312;30000;831;20441;0.3756;24.5981;1
1;B;12;A;62;B;5;1;3;3;C;30000;232;274;33000;844;20303;0.3247;24.0557;0.9091
1;B;60;A;338;B;5;1;4;3;C;30000;189;292;37000;786;36925;0.3709;46.9784;0.8108
1;B;51;C;22;B;1;1;0;3;C;24000;201;227;29000;844;20280;0.2695;24.0284;0.8276
1;B;46;A;43;A;11;1;1;4;C;24000;207;229;27000;846;32521;0.2702;38.4409;0.8889
1;A;47;B;67;A;11;1;1;4;C;20000;148;219;22000;746;11994;0.2934;16.0777;0.9091
1;B;34;A;55;A;11;1;0;4;A;20000;215;190;23000;841;15799;0.2255;18.786;0.8696
1;B;51;A;105;A;7;1;2;3;C;14000;125;150;14000;875;6955;0.1716;7.9486;1
1;B;34;A;86;A;11;1;0;4;C;11200;133;135;13200;758;5545;0.1782;7.3153;0.8485
1;B;40;B;90;A;11;1;3;3;C;10000;178;101;10000;741;12712;0.1369;17.1552;1
1;B;56;A;83;A;12;1;2;2;C;7000;186;68;8000;900;5391;0.0758;5.99;0.875
1;B;46;A;275;A;11;1;2;4;C;11000;206;87;11000;737;9025;0.1185;12.2456;1
1;B;38;B;158;A;12;2;0;1;C;10000;230;81;11448.28309;731;8233;0.1103;11.2627;0.8735
0;A;44;A;257;B;5;1;1;3;C;630000;141;7202;667062.444;32313;691903;0.2229;21.4125;0.9444
0;B;45;A;98;B;5;1;0;3;A;600000;210;5528;751653.8475;26316;682911;0.2101;25.9504;0.7982
0;B;71;A;44;A;10;1;3;3;C;580000;222;4704;655523.3921;19021;697310;0.2473;36.66;0.8848
0;B;26;A;6;A;11;1;0;3;A;400000;120;4359;980607.3766;17561;495263;0.2482;28.2024;0.4079
0;B;50;A;278;B;5;1;3;3;C;320000;126;3535;554879.6226;15213;252000;0.2324;16.5648;0.5767
0;B;39;A;182;B;8;2;0;3;A;300000;152;3128;709096.0469;13348;141222;0.2343;10.58;0.4231
0;B;56;A;208;A;12;2;2;4;C;600000;188;5824;1076816.019;12896;511676;0.4516;39.6771;0.5572
0;B;63;B;333;B;9;1;3;3;C;300000;130;3636;519991.0695;12581;150818;0.289;11.9878;0.5769
0;B;34;A;94;A;6;1;0;4;A;300000;131;3654;382208.8089;12272;396709;0.2978;32.3264;0.7849
0;B;41;A;119;A;6;1;1;4;C;700000;177;7299;1073371.101;12075;855684;0.6044;70.8641;0.6522
0;B;51;B;181;A;11;1;3;4;C;293000;199;2820;413787.385;12064;228340;0.2337;18.9274;0.7081
0;B;45;A;73;A;11;1;2;3;C;800000;176;7869;1113433.739;11437;548551;0.6881;47.9628;0.7185
0;B;59;B;268;A;3;2;2;3;C;800000;136;9426;946942.4654;10517;632444;0.8963;60.1354;0.8448
0;B;41;A;123;A;6;1;2;3;C;360000;155;3870;469087.41;9223;231589;0.4197;25.1099;0.7674
0;A;50;A;179;B;9;1;0;3;C;200000;174;2029;320257.4217;9072;152976;0.2237;16.8624;0.6245
0;B;56;B;265;B;5;2;2;3;C;500000;185;4411;637952.8555;8931;259500;0.494;29.0561;0.7838
0;B;53;A;253;B;8;1;2;3;C;200000;171;2085;244257.5321;8188;263617;0.2547;32.1955;0.8188
0;A;42;A;63;A;11;1;2;4;C;180000;199;1731;210326.2091;7908;193166;0.2189;24.4267;0.8558
0;B;54;A;64;A;7;1;3;3;C;170000;225;1560;324505.4025;7450;140512;0.2094;18.8607;0.5239
0;B;49;A;21;A;11;1;2;4;C;168000;183;1515;390079.8544;7363;84340;0.2058;11.4546;0.4307
0;B;52;A;66;A;11;1;1;4;C;600000;202;4958;1088806.691;7232;262198;0.6855;36.2553;0.5511
0;B;29;A;22;A;11;1;0;4;C;200000;130;2235;483741.9378;6367;174141;0.351;27.3506;0.4134
0;B;37;A;65;A;11;1;2;4;C;200000;140;2204;266511.1848;6340;221329;0.3476;34.9099;0.7504
0;A;42;B;9;B;8;1;0;3;A;320000;139;3565;429817.9614;6259;223878;0.5695;35.769;0.7445
0;B;54;B;342;B;5;1;3;3;C;500000;218;4516;711386.6937;6095;252150;0.7409;41.37;0.7029
0;B;46;A;204;B;5;1;5;3;C;377784;203;2921;577776.8532;5922;232687;0.4932;39.292;0.6539
0;B;41;A;177;B;8;1;3;4;C;160000;190;1591;445452.3766;5591;187819;0.2846;33.5931;0.3592
0;B;54;A;316;A;12;1;2;3;C;140000;213;1303;211520.5898;5563;94021;0.2342;16.9011;0.6619
0;A;37;A;181;A;11;1;3;4;C;364000;178;3729;528212.306;5394;284255;0.6913;52.6984;0.6891
0;B;52;A;292;A;11;1;3;4;C;160000;162;1490;285608.5321;10661;177630;0.1398;16.6617;0.5602
0;A;37;A;108;A;11;2;2;4;C;220000;133;2609;295671.0973;10612;206694;0.2458;19.4774;0.7441
0;B;55;A;222;B;9;1;3;3;C;300000;152;3275;528144.3108;10498;236075;0.312;22.4876;0.568
0;B;42;B;109;A;11;2;2;3;C;300000;129;3694;350141.6143;10472;155508;0.3527;14.8499;0.8568
0;B;55;C;181;B;5;1;5;3;C;400000;160;4276;563935.919;10040;228677;0.4259;22.7766;0.7093
0;B;47;A;78;B;5;2;3;3;C;153600;215;1432;303397.0608;9895;70281;0.1448;7.1027;0.5063
0;B;41;A;57;A;7;1;2;3;C;295000;191;2897;533513.1838;9805;199276;0.2955;20.3239;0.5529
0;B;52;B;151;B;8;1;2;3;C;100000;120;1194;194141.445;9790;73736;0.1219;7.5318;0.5151
0;A;46;A;164;B;8;2;2;3;C;120000;123;1446;254832.1656;9623;166966;0.1502;17.3507;0.4709
0;B;51;C;199;B;8;1;3;3;C;200000;194;1993;383313.6847;9500;152347;0.2098;16.0365;0.5218
0;A;41;A;21;A;11;1;2;4;C;192000;154;2089;221913.0412;9488;197337;0.2202;20.7986;0.8652
0;B;49;A;21;A;11;1;2;4;C;232000;135;2682;424679.8953;9466;191875;0.2834;20.2699;0.5463
0;B;52;A;79;B;3;1;2;3;C;140000;162;1465;262573.7878;9405;101386;0.1558;10.78;0.5332
0;B;38;A;99;A;11;1;1;4;C;194000;178;1964;349992.4943;9355;248113;0.21;26.522;0.5543
0;B;45;A;109;A;6;1;2;4;C;100000;146;1128;163879.6428;9349;125458;0.1206;13.4194;0.6102
0;B;32;A;109;A;11;2;0;4;C;260000;153;2817;513525.3577;9305;297453;0.3027;31.967;0.5063
0;A;44;A;113;A;7;1;4;3;C;500000;214;4339;758393.124;9228;325218;0.4702;35.2425;0.6593
0;B;40;A;163;A;12;1;3;4;C;144000;169;1488;198061.4607;9211;188916;0.1615;20.5098;0.727
0;B;44;A;117;A;11;1;4;4;C;120000;186;1204;216618.0431;9127;93764;0.1319;10.2733;0.554
0;B;44;C;120;A;12;2;1;3;C;200000;154;2215;363096.551;9121;142576;0.2428;15.6316;0.5508
0;B;35;A;58;A;12;1;1;4;C;340000;228;3028;515255.2147;8897;270737;0.3403;30.4301;0.6599
0;B;52;A;235;A;6;1;2;3;C;200000;216;1890;489995.5376;8655;196619;0.2184;22.7174;0.4082
0;B;35;A;69;A;12;1;1;3;C;134000;174;1365;248025.1129;8606;183109;0.1586;21.2769;0.5403
0;B;48;B;188;A;6;1;2;3;C;300000;206;2460;385676.9767;8565;121047;0.2872;14.1327;0.7779
0;B;51;A;195;A;12;2;2;3;C;160000;129;1945;193344.7746;8434;150314;0.2306;17.8224;0.8275
0;B;43;B;195;B;3;1;2;3;C;100000;181;1042;138055.0576;8371;63599;0.1244;7.5975;0.7243
0;A;39;A;132;A;11;2;2;3;C;200000;185;1811;386939.4168;8355;172821;0.2168;20.6847;0.5169
0;B;51;C;54;A;11;1;3;4;C;160000;140;1652;352379.8259;8339;196837;0.1981;23.6044;0.4541
0;B;44;A;179;B;5;1;0;3;A;350000;218;3246;437258.4961;8303;170006;0.3909;20.4752;0.8004
0;B;45;B;131;A;12;1;2;4;C;120000;188;1213;225872.346;8176;117909;0.1484;14.4214;0.5313
0;B;64;A;27;A;7;1;2;3;C;100000;147;1131;142352.2272;8134;119424;0.139;14.6821;0.7025
0;A;53;B;40;B;9;1;3;3;C;200000;201;1919;289837.4081;8123;242322;0.2362;29.8316;0.69
0;B;45;B;76;A;12;1;1;3;C;100000;230;894;140299;8030;110896;0.1114;13.8102;0.7128
0;A;53;A;329;A;6;1;2;4;D;110000;177;1136;153279.1296;7993;133018;0.1422;16.6418;0.7176
0;B;51;A;109;B;1;2;4;3;C;90000;127;1085;145774.5244;7932;83656;0.1368;10.5466;0.6174
0;B;45;A;70;B;4;2;3;3;C;240000;181;2262;316950.541;7787;226591;0.2905;29.0986;0.7572
0;B;44;A;14;A;11;1;2;4;C;200000;188;2010;469610.65;7703;213161;0.2609;27.6725;0.4259
0;A;32;B;98;A;11;1;1;4;C;100000;204;931;106127.6654;7690;76290;0.121;9.9207;0.9423
0;B;38;A;137;A;6;1;0;3;C;110000;140;1101;167958.1389;7598;77334;0.1449;10.1782;0.6549
0;B;50;B;125;B;3;2;3;4;C;200000;141;2077;305516.792;7558;223422;0.2749;29.561;0.6546
0;B;38;B;170;A;12;1;2;4;C;110000;131;1128;135262.7878;7488;88732;0.1507;11.8499;0.8132
0;B;69;A;186;A;6;1;3;3;C;300000;183;2899;619421.3252;7469;157555;0.3881;21.0945;0.4843
0;B;46;B;140;B;8;1;2;3;C;260000;199;2323;418415.0401;7445;220331;0.3121;29.5945;0.6214
0;A;46;B;291;A;12;1;3;4;C;76000;130;914;131570.2758;7406;35346;0.1234;4.7726;0.5776
0;B;31;B;62;A;11;1;2;4;C;260000;232;2332;388788.9759;7350;151112;0.3173;20.5595;0.6687
0;B;43;A;22;A;12;1;2;4;C;80000;210;740;163514.1153;7132;91515;0.1037;12.8316;0.4893
0;B;40;B;55;A;11;1;3;4;C;180000;209;1707;225148.0859;7130;250329;0.2395;35.1093;0.7995
0;A;44;A;41;B;8;1;0;4;C;94000;129;1110;247972.3539;7128;112726;0.1558;15.8145;0.3791
